Customer ID,Customer Name,Customer Email,Phone Number,Product ID,Product Name,Purchase Date,Quantity,Price per Unit,Total Price,Payment Method,Shipping Address,Feedback Score,Discount Applied,Transaction Status,Purchase Type
69,Jeremy Rodriguez,michael56@hotmail.com,362-340-8966x26080,104,Rag Type D,2024-02-13,19,4.75,90.25,PayPal,"6522 Jeffery Station Apt. 666, Martinberg, NM 85754",4,10%,Failed,Online
70,John Thompson,benitezmelissa@hotmail.com,939.982.5672x20082,102,Rag Type B,2024-07-17,18,3.5,63.0,PayPal,"51606 Margaret Highway, Erikmouth, AZ 34874",2,10%,Failed,Online
71,Alan Mann,gregory82@hotmail.com,(663)270-2936x029,105,Rag Type E,2024-02-05,16,7.0,112.0,Credit Card,"142 Katherine Pass, Nicoleport, AL 07762",5,10%,Successful,Online
72,Keith Johnson,kscott@rose-cantrell.com,836.895.0967x54405,104,Rag Type D,2024-08-22,1,4.75,4.75,Credit Card,"260 Austin Overpass Apt. 523, East Christopher, CT 05581",1,15%,Failed,Online
73,Carolyn Ramirez,nicholsjoan@houston.com,758-522-0837,102,Rag Type B,2024-04-23,9,3.5,31.5,Credit Card,"8648 Diaz Fall Suite 002, East Brittanyside, IN 33520",5,0,Successful,Online
74,Stephen Franco,quinnnicole@burnett-scott.net,481.037.5044,104,Rag Type D,2024-03-09,15,4.75,71.25,PayPal,"369 Cynthia Harbor Apt. 471, North Sabrina, NC 75181",3,0,Failed,In-store
75,Amy Mcneil,serranojoe@horn.org,+1-824-762-9874x71080,105,Rag Type E,2024-01-24,16,7.0,112.0,PayPal,"Unit 2793 Box 2063, DPO AE 64797",3,10%,Failed,In-store
76,Alexandra Chapman,hcampbell@morales.com,001-155-797-0846x1721,102,Rag Type B,2024-04-19,15,3.5,52.5,Credit Card,"6336 Obrien Rapids, Annatown, IL 73359",3,10%,Failed,In-store
77,Jared Mcdonald,thomas30@gmail.com,(434)915-9454,104,Rag Type D,2024-03-11,20,4.75,95.0,PayPal,"45146 Don Lake Suite 945, New Elizabethmouth, SC 71401",5,0,Failed,In-store
78,Jeremy Young,pbutler@hotmail.com,5666971564,105,Rag Type E,2024-05-23,19,7.0,133.0,Credit Card,"8547 Jessica Path, East Jessicabury, WI 39566",5,5%,Failed,Online
79,Arthur Williams,deborahsmith@browning.info,725-008-7738,102,Rag Type B,2024-01-22,8,3.5,28.0,Cash,"PSC 0576, Box 4126, APO AP 88575",4,0,Successful,In-store
80,Anthony Reese,keithperez@yahoo.com,+1-475-657-6616,102,Rag Type B,2024-04-17,2,3.5,7.0,Credit Card,"162 Melissa Trafficway, Port Derek, MO 77044",3,10%,Successful,In-store
81,Jasmine Jimenez,cynthiasanders@gomez.com,232-476-8799,104,Rag Type D,2024-02-10,4,4.75,19.0,PayPal,"PSC 4878, Box 9444, APO AE 97510",1,0,Successful,Online
82,Stephanie Davis,fmckinney@hotmail.com,577-795-7925,103,Rag Type C,2024-02-20,2,6.25,12.5,PayPal,"81007 Chelsea Field, Hunterport, SC 97313",2,0,Failed,In-store
83,George Todd,charlesariana@hicks.info,987.366.4337,102,Rag Type B,2024-04-26,5,3.5,17.5,PayPal,"70854 Jessica Highway, Johnchester, ID 42537",2,15%,Successful,In-store
84,Adam Wright,ggriffin@escobar.com,(361)129-7369x612,104,Rag Type D,2024-02-15,11,4.75,52.25,Cash,"75280 Johnson Way Suite 484, East Christine, WY 76571",2,5%,Failed,In-store
85,Jessica Alexander,olivia92@hart.com,011-280-7018x5617,105,Rag Type E,2024-09-08,8,7.0,56.0,Cash,"93634 Christian Prairie Apt. 160, Charlesfort, ND 25067",4,5%,Successful,In-store
86,Patricia Barker,allison37@harding-cox.com,+1-073-199-7173x8772,103,Rag Type C,2024-07-12,19,6.25,118.75,PayPal,"286 Oliver Route Suite 408, North Timothyville, UT 06388",5,0,Successful,In-store
87,Stephanie Price,fisherwhitney@gmail.com,+1-934-735-4976x2990,103,Rag Type C,2024-04-05,4,6.25,25.0,PayPal,"PSC 1889, Box 0618, APO AA 19988",2,0,Successful,In-store
88,Michael Kaiser,rileytanya@smith.info,+1-633-434-6356,101,Rag Type A,2024-06-14,17,5.0,85.0,PayPal,"862 Castro Course, Lake Leslie, KY 55209",2,0,Failed,In-store
89,Brian Harper,anthonyruiz@williams.com,(298)670-8611x40142,102,Rag Type B,2024-08-25,1,3.5,3.5,Credit Card,"20226 Alexander Points Apt. 307, Donaldport, MA 46191",1,15%,Successful,Online
90,Alexandra Stout,jeffreymason@gmail.com,(628)592-0243,102,Rag Type B,2024-02-25,3,3.5,10.5,Cash,"5328 Pamela Extension, South Johnchester, GA 64539",1,5%,Successful,Online
91,Hannah Thompson,robertoconnor@hotmail.com,023-221-2152x1807,103,Rag Type C,2024-07-06,11,6.25,68.75,PayPal,"716 Ayala Turnpike Apt. 580, New Lisa, SC 91203",4,0,Failed,In-store
92,Ashley Hansen,reneebailey@finley.org,001-562-372-1248,104,Rag Type D,2024-07-14,19,4.75,90.25,Cash,"513 Cameron Trail Suite 795, Martinezhaven, WY 18462",1,15%,Successful,In-store
93,Anna Winters,nmathis@yahoo.com,+1-557-630-1533x287,104,Rag Type D,2024-03-31,11,4.75,52.25,PayPal,"45589 Perez Junction Apt. 292, Stacymouth, GA 63957",3,15%,Failed,Online
94,Christopher Woods,msilva@hotmail.com,+1-579-372-5198x2505,105,Rag Type E,2024-04-04,7,7.0,49.0,Cash,"3805 Kenneth Corners Apt. 229, Emilybury, VA 27315",2,10%,Successful,Online
95,Melinda Rojas,espinozajoe@yahoo.com,(875)757-5154x346,102,Rag Type B,2024-04-14,7,3.5,24.5,Credit Card,"68046 Joseph Lodge, East Philiphaven, OK 58254",1,0,Failed,In-store
96,Sabrina Roman MD,aaron54@prince-maldonado.com,020.978.7280x27025,103,Rag Type C,2024-07-13,19,6.25,118.75,Cash,"140 Watson Forest Suite 836, East Williamville, SC 83763",4,10%,Successful,Online
97,Wendy Woodard,sarahmartin@yahoo.com,759-994-1951,101,Rag Type A,2024-07-24,15,5.0,75.0,Cash,"303 Cooper Pine, Higginsfort, WV 20783",3,5%,Successful,Online
98,Jill Mclaughlin,frasmussen@hotmail.com,2845069538,103,Rag Type C,2024-07-14,5,6.25,31.25,PayPal,"695 Rebecca Shoal Suite 717, Guzmanmouth, WY 77966",5,0,Successful,Online
99,James Payne,william72@gmail.com,(934)424-1547,102,Rag Type B,2024-02-19,1,3.5,3.5,PayPal,"33196 Jared Via Apt. 614, Colinmouth, ME 54322",5,0,Successful,In-store
100,Mr. James Benitez,william49@kim-johnson.com,0615663437,104,Rag Type D,2024-01-17,12,4.75,57.0,PayPal,"PSC 2713, Box 6247, APO AE 68972",4,5%,Successful,Online
101,Katie Foster,stacywilliams@gmail.com,743.702.5915,104,Rag Type D,2024-04-01,3,4.75,14.25,Credit Card,"18423 Gordon Walk Apt. 920, East Jeremy, NJ 19216",3,5%,Failed,Online
102,Tammy Callahan,gacosta@gmail.com,4928821420,103,Rag Type C,2024-06-27,2,6.25,12.5,Credit Card,"1305 Rodriguez Land, South Kristi, KY 78509",4,5%,Failed,Online
103,Victoria Kent,tiffanywalker@hotmail.com,+1-280-778-5032x62004,102,Rag Type B,2024-02-05,19,3.5,66.5,PayPal,"98042 Bridget Summit Apt. 252, Bethfort, MN 89394",1,10%,Failed,Online
104,Juan Roach,dmelendez@yahoo.com,+1-828-281-1295x77729,102,Rag Type B,2024-01-04,20,3.5,70.0,Credit Card,"PSC 0942, Box 6432, APO AP 86166",1,5%,Failed,Online
105,Samuel Aguilar,bberry@foster.com,697.560.4172x37445,103,Rag Type C,2024-02-10,5,6.25,31.25,Credit Card,"1988 Nunez Mission, Port Davidton, AK 72421",4,5%,Failed,Online
106,Susan Smith,owilcox@castro.com,205-111-8267x474,105,Rag Type E,2024-05-15,5,7.0,35.0,Credit Card,"89636 Anderson Well Apt. 332, Marvinbury, MD 15342",4,5%,Successful,Online
107,Angela Franklin,liulauren@baldwin.biz,(655)675-8046,102,Rag Type B,2024-02-22,12,3.5,42.0,PayPal,"3151 Scott Motorway Suite 392, Gardnershire, KS 68738",3,0,Failed,Online
108,Lisa David,paula62@crawford.info,279.759.6540x01726,104,Rag Type D,2024-09-10,8,4.75,38.0,PayPal,"1450 Stanley Turnpike Apt. 968, Leonton, AZ 96805",1,0,Successful,Online
109,Benjamin Gordon,swilson@martinez.com,(454)163-3016,104,Rag Type D,2024-02-10,17,4.75,80.75,Credit Card,"15513 Kennedy Via, Margaretview, NY 07291",5,15%,Failed,Online
110,Bridget Hernandez,jamesthompson@yahoo.com,+1-752-551-2353x6718,101,Rag Type A,2024-05-21,6,5.0,30.0,Credit Card,"5860 Andrew Crescent, Cathyport, OR 60111",2,0,Successful,Online
111,Darrell Ramsey,tonyafoster@hotmail.com,987.570.8364x68128,104,Rag Type D,2024-04-18,12,4.75,57.0,PayPal,"130 Michael Place Suite 294, South Meredith, TN 05154",4,5%,Successful,Online
112,Marcus Thomas Jr.,zmarsh@yahoo.com,+1-025-133-8700x553,105,Rag Type E,2024-05-18,7,7.0,49.0,PayPal,"15969 Emily Roads, South William, OR 92973",2,0,Successful,In-store
113,Melissa Rivera,cruzbrian@hotmail.com,189.526.0567,102,Rag Type B,2024-06-24,8,3.5,28.0,Credit Card,"23947 Ashlee Circles Suite 980, Diazview, KY 48398",4,0,Successful,Online
114,Bridget Benton,ghaley@gmail.com,149-589-5532,102,Rag Type B,2024-07-28,10,3.5,35.0,Cash,"USNS Ross, FPO AE 02482",4,10%,Successful,In-store
115,Christine Fitzgerald,hpitts@gmail.com,001-673-233-2098x333,105,Rag Type E,2024-05-24,13,7.0,91.0,Credit Card,"0117 Sarah Ramp Apt. 152, Vasquezbury, NM 47509",1,0,Failed,In-store
116,Ashley Paul,zsmith@yahoo.com,(348)600-8261,105,Rag Type E,2024-08-29,4,7.0,28.0,PayPal,"PSC 3365, Box 2188, APO AP 91830",2,10%,Failed,Online
117,Kevin Bush,qbyrd@gmail.com,+1-082-337-7711x588,104,Rag Type D,2024-09-08,5,4.75,23.75,Cash,"PSC 6364, Box 8926, APO AP 18634",1,10%,Failed,Online
118,Robert Morgan,stephen34@harris-thomas.com,889-173-2341,105,Rag Type E,2024-02-06,3,7.0,21.0,PayPal,"20785 Davis Harbor Apt. 669, Reyesstad, ME 14760",1,10%,Successful,In-store
119,Jeffrey White,bgonzalez@yahoo.com,001-550-637-7797x85010,103,Rag Type C,2024-06-04,16,6.25,100.0,Cash,"76252 Jennifer Expressway, Lake Samantha, ME 58085",2,15%,Successful,Online
120,Mr. Erik Hale,david53@gmail.com,+1-339-180-4033,101,Rag Type A,2024-01-18,18,5.0,90.0,Credit Card,"Unit 7439 Box 8066, DPO AE 53630",2,5%,Failed,In-store
121,Christopher Haynes,klewis@gmail.com,353-315-2922,103,Rag Type C,2024-06-28,15,6.25,93.75,PayPal,"857 King Locks, Cruzberg, NV 82212",1,5%,Failed,Online
122,Sharon Bullock,ddavis@yahoo.com,(427)705-2382x752,105,Rag Type E,2024-08-26,11,7.0,77.0,Cash,"6744 Hernandez Plaza, South Amanda, DE 53475",1,15%,Successful,In-store
123,Jay Summers,michael80@gmail.com,001-169-708-0071,105,Rag Type E,2024-01-07,15,7.0,105.0,Credit Card,"22081 Michelle Crescent Apt. 762, Perryville, MD 79549",2,10%,Successful,In-store
124,Kevin Owen,achen@smith-morris.com,1227078082,105,Rag Type E,2024-04-02,11,7.0,77.0,PayPal,"002 Allen Hills, West Wanda, WV 75634",4,0,Successful,Online
125,Nathan Drake,cdaniels@hotmail.com,001-098-799-8745x5338,105,Rag Type E,2024-01-02,4,7.0,28.0,PayPal,"Unit 0497 Box 1589, DPO AE 47098",4,10%,Failed,In-store
126,Kayla Walker,codysanchez@gmail.com,665.657.4869x56765,102,Rag Type B,2024-01-07,9,3.5,31.5,Credit Card,"0642 David Forks, Mooreborough, NV 08677",4,15%,Failed,Online
127,Brian Meadows,blankenshipkimberly@meyer-bowers.com,090.605.4126x95014,101,Rag Type A,2024-08-28,12,5.0,60.0,Credit Card,"30127 Jenkins Plains Suite 563, Lake Gabriel, MT 42965",1,5%,Failed,In-store
128,Margaret Rice,mcclurealicia@hotmail.com,(983)375-3780x966,102,Rag Type B,2024-01-12,17,3.5,59.5,PayPal,"146 Jody Heights Suite 491, Christopherfurt, VT 60118",1,5%,Failed,Online
129,Robin Hendrix,andersonstephanie@hotmail.com,(532)465-5584,101,Rag Type A,2024-01-17,17,5.0,85.0,PayPal,"7903 Shaffer Villages, West Daisyhaven, WA 93131",5,15%,Failed,Online
130,Todd Rodriguez,jacksongreg@hotmail.com,(252)920-1315x06900,105,Rag Type E,2024-05-09,12,7.0,84.0,PayPal,"069 Adam Drive Suite 191, Duncanfurt, DC 19271",2,10%,Failed,In-store
131,Russell Moore,jessica25@gmail.com,282.761.8824,103,Rag Type C,2024-09-06,14,6.25,87.5,PayPal,"7166 Susan Crossroad Apt. 861, Bobbyland, OR 02301",5,15%,Successful,In-store
132,Sara Thompson,noahallen@smith-williams.com,(092)131-2139x1090,105,Rag Type E,2024-09-10,4,7.0,28.0,Credit Card,"8027 Bennett Fords, Whiteland, LA 81642",3,0,Failed,Online
133,Theodore Smith,griffinerin@dixon-smith.net,905.983.5338x211,103,Rag Type C,2024-06-14,3,6.25,18.75,Cash,"380 Dana Plaza Suite 025, Leonardland, CA 26626",2,15%,Failed,In-store
134,Blake Vance,masonjohn@yahoo.com,1997092356,102,Rag Type B,2024-01-30,4,3.5,14.0,Credit Card,"1569 Johnston Bridge, Port Benjaminview, NH 06620",4,10%,Failed,In-store
135,William Zamora,josephrobinson@yahoo.com,869.906.8843,105,Rag Type E,2024-06-03,14,7.0,98.0,Cash,"PSC 3952, Box 1107, APO AA 49542",5,15%,Failed,Online
